Date,Not indexed,Indexed,Impressions
2026-07-18,,,0
2026-07-19,,,0
2026-07-20,,,0
2026-07-21,,,0
2026-07-22,,,1
2026-07-23,,,1
2026-07-24,3,4,0
2026-07-25,3,4,1
2026-07-26,3,4,0
2026-07-27,3,4,0
2026-07-28,3,4,2
2026-07-29,3,4,1
2026-07-30,3,4,1
2026-07-31,3,4,0
2026-08-01,3,4,1
2026-08-02,3,4,0
2026-08-03,3,4,0
2026-08-04,3,4,1
2026-08-05,3,4,1
2026-08-06,3,4,0
2026-08-07,3,4,5
2026-08-08,3,4,1
2026-08-09,3,4,0
2026-08-10,3,4,0
2026-08-11,3,4,0
2026-08-12,3,4,0
2026-08-13,3,4,0
2026-08-14,3,4,0
2026-08-15,3,4,0
2026-08-16,3,4,0
2026-08-17,3,4,0
2026-08-18,3,4,0
2026-08-19,3,4,0
2026-08-20,3,4,0
2026-08-21,3,4,0
2026-08-22,3,4,0
2026-08-23,3,4,0
2026-08-24,3,4,2
2026-08-25,3,4,0
2026-08-26,3,4,0
2026-08-27,3,4,0
2026-08-28,3,4,0
2026-08-29,4,4,0
2026-08-30,4,4,0
2026-08-31,4,4,0
2026-09-01,4,4,0
2026-09-02,4,4,0
2026-09-03,4,4,0
2026-09-04,4,4,0
2026-09-05,13,48,1
2026-09-06,13,48,1
2026-09-07,13,48,0
2026-09-08,13,48,1
2026-09-09,13,48,2
2026-09-10,13,48,1
2026-09-11,13,48,0
2026-09-12,13,48,1
2026-09-13,13,48,3
2026-09-14,13,48,2
